Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0044884,-0.003141,0.046765,0,0,0,0.077896,0.00012199,-6.1075E-07,1.4805E-05,8.2516E-05,-1.7371E-07,5.2781E-05,0,0,0,0,0,0,package://youshou_urdf/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://youshou_urdf/meshes/base_link.STL,,手掌_右.step-1;手背_右.step-1;拇指底座前_右.step-1;拇指底座后_右.step-1,世界坐标系,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_link1,0.0105644013997104,0.000665145003611756,-0.00152850738343248,0,0,0,0.00400599320088145,2.97371602399895E-07,3.36524961820821E-08,1.93877827874905E-08,5.36198138639355E-07,-6.63592493378815E-09,6.7033970321324E-07,0,0,0,0,0,0,package://youshou_urdf/meshes/thumb_link1.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://youshou_urdf/meshes/thumb_link1.STL,,基架右.step-1,拇指坐标系1,拇指轴1,thumb_joint1,revolute,0.0089888,0.02104,0.03253,0.081325,-0.42093,1.0728,base_link,0.26091,0,0.96536,0,0,0,0,,,,,,,,
thumb_link2,0.0247566484026018,0.00445709491305678,0.000334963330072605,0,0,0,0.0070317570366135,3.2102773670361E-07,-1.50879757048375E-08,-2.02219159376493E-08,1.86766800324974E-06,3.96182751993749E-09,2.09124042542766E-06,0,0,0,0,0,0,package://youshou_urdf/meshes/thumb_link2.STL,1,1,1,1,0,0,0,0,0,0,package://youshou_urdf/meshes/thumb_link2.STL,,拇指近指骨_左.step-1;拇指近指骨_右.step-1,拇指坐标系2,拇指轴2,thumb_joint2,revolute,0.026829,0,0,-1.5708,-0.22988,0,thumb_link1,0,0,1,0,0,0,0,,,,,,,,
thumb_link3,0.0155537518434531,0.0030449133151744,0.000462672846270155,0,0,0,0.00485038536648811,1.47898576400049E-07,1.21285767750724E-08,-1.76653118622882E-09,5.65366898729192E-07,6.45933950407243E-10,6.51279090935193E-07,0,0,0,0,0,0,package://youshou_urdf/meshes/thumb_link3.STL,1,1,1,1,0,0,0,0,0,0,package://youshou_urdf/meshes/thumb_link3.STL,,拇指远指骨_左.step-1;拇指远指骨_右.step-1,拇指坐标系3,拇指轴3,thumb_jinot3,revolute,0.048354,0,0,0,0,-0.10848,thumb_link2,0,0,1,0,0,0,0,,,,,,,,
index_link1,0.00180502929835984,9.78143017849042E-06,0.00171111284564738,0,0,0,0.000506372322576598,3.91689534474703E-09,4.18381361556145E-11,4.59557412246727E-10,2.28106843665353E-08,-3.65910214672703E-12,2.37263594138529E-08,0,0,0,0,0,0,package://youshou_urdf/meshes/index_link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://youshou_urdf/meshes/index_link1.STL,,摆动件.step-1,食指坐标系1,食指侧摆轴1,index_joint1,revolute,-0.01136,0.025025,0.10781,-1.5708,-1.3786,1.5708,base_link,0,0,-1,0,0,0,0,,,,,,,,
index_link2,0.0131638991858953,-0.000134091451138813,9.28507631227371E-06,0,0,0,0.00345302981537233,1.01835429130366E-07,1.16657937757201E-08,-1.26894577819915E-09,2.71501849238998E-07,-2.47290356952604E-09,3.47694756891176E-07,0,0,0,0,0,0,package://youshou_urdf/meshes/index_link2.STL,1,1,1,1,0,0,0,0,0,0,package://youshou_urdf/meshes/index_link2.STL,,近指骨_l.step-1;近指骨_r.step-1;短连杆.step-1,食指坐标系2,食指关节轴2,index_joint2,revolute,0.0065,0,0,-1.5708,0.15559,0,index_link1,0,0,-1,0,0,0,0,,,,,,,,
index_link3,0.0142876873396355,-0.000476751504743619,0.000136085605124368,0,0,0,0.0036450287103129,9.59760908235186E-08,6.62019069089263E-09,2.35792470177538E-10,4.11723439720304E-07,2.26985517189384E-09,4.59969781877025E-07,0,0,0,0,0,0,package://youshou_urdf/meshes/index_link3.STL,1,1,1,1,0,0,0,0,0,0,package://youshou_urdf/meshes/index_link3.STL,,中指骨_l.step-2;中指骨_r.step-2,食指坐标系3,食指关节轴3,index_joint3,revolute,0.025774,0,0,0,0,0.053634,index_link2,0,0,1,0,0,0,0,,,,,,,,
index_link4,0.0119030681382838,-0.00163381076764928,1.52445357668035E-05,0,0,0,0.0026929659514876,4.69351722463665E-08,4.11797359226837E-09,7.51846653497127E-10,1.68423880321269E-07,-3.62494102260887E-10,1.93893382910466E-07,0,0,0,0,0,0,package://youshou_urdf/meshes/index_link4.STL,1,1,1,1,0,0,0,0,0,0,package://youshou_urdf/meshes/index_link4.STL,,远指骨_l.step-1;远指骨_r.step-1,食指坐标系4,食指关节轴4,index_joint4,fixed,0.030024,0,0,0,0,-0.16885,index_link3,0,0,0,,,,,,,,,,,,
middle_link1,0.00180503080028392,9.77964183454527E-06,0.00171111281648477,0,0,0,0.000506372480959062,3.91689658391293E-09,4.18425388087464E-11,4.59557519512627E-10,2.28106886437778E-08,-3.65930627711545E-12,2.37263642798645E-08,0,0,0,0,0,0,package://youshou_urdf/meshes/middle_link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://youshou_urdf/meshes/middle_link1.STL,,摆动件.step-8,中指坐标系1,中指侧摆轴1,middle_joint1,revolute,-0.01186,0.0010533,0.11017,1.5708,-1.4986,-1.5708,base_link,0,0,-1,0,0,0,0,,,,,,,,
middle_link2,0.0131554602406874,-0.000127689039948246,7.87766989550701E-06,0,0,0,0.00345232521621099,1.01534804893343E-07,1.15749258006347E-08,-1.22029669303735E-09,2.71797830955692E-07,-2.57801065727095E-09,3.47777916134917E-07,0,0,0,0,0,0,package://youshou_urdf/meshes/middle_link2.STL,1,1,1,1,0,0,0,0,0,0,package://youshou_urdf/meshes/middle_link2.STL,,近指骨_l.step-8;近指骨_r.step-10;短连杆.step-9,中指坐标系2,中指关节轴2,middle_joint2,revolute,0.0065,0,0,-1.5708,0.14927,0,middle_link1,0,0,1,0,0,0,0,,,,,,,,
